k,h,offset,Combo,Plastic,Reagent,Channel
4.726280310821814,0.9995254384923882,49.05632963986838,PSC0.K0,SC0,K0,0
5.036410302367753,0.9873387702816668,46.75415627847622,PSC0.K0,SC0,K0,1
4.49637113131194,0.4679182736809049,45.79462194148191,PSC0.K0,SC0,K0,2
4.613306491670552,1.0235600450608708e-14,40.924819008021686,PSC0.K0,SC0,K0,3
4.348643703816549,0.8675856302173272,44.283181161204574,PSC0.K0,SC0,K0,4
4.105564286136151,1.0,52.68955107050902,PSC0.K0,SC0,K0,5
4.387829138473395,1.0,56.1597063934678,PSC0.K0,SC0,K0,6
4.798122462018377,1.0,53.7099657173985,PSC0.K0,SC0,K0,7
4.778234276150992,1.0,56.37862021197211,PSC0.K0,SC0,K0,8
4.849756232341669,0.9853836832186064,46.65528799227249,PSC0.K0,SC0,K0,9
4.504890445678998,1.0,53.42201376709697,PSC0.K0,SC0,K0,10
4.582929205882839,1.0,50.11145452043252,PSC0.K0,SC0,K0,11
4.469294231171017,1.0,57.776440213560335,PSC0.K0,SC0,K0,12
5.223002104838201,0.2634324568613032,43.24876480079054,PSC0.K0,SC0,K0,13
5.074754254042521,1.0,52.388746712849446,PSC0.K0,SC0,K0,14
5.07981903987699,0.9334642457845118,45.52980294517583,PSC0.K0,SC0,K0,15
4.334193166334725,1.2098850287325772e-19,42.66757502231375,PSCH.KH,SCH,KH,0
4.807024408706196,1.0,51.95848478925472,PSCH.KH,SCH,KH,1
4.451180100546632,2.509930676281903e-19,41.8732308373534,PSCH.KH,SCH,KH,2
4.884099433001661,1.0,52.778672343023466,PSCH.KH,SCH,KH,3
4.4250752808869525,0.924461284457166,43.84346159722335,PSCH.KH,SCH,KH,4
4.708848420490998,0.9743971032052656,44.9538329674726,PSCH.KH,SCH,KH,5
4.6453323217276425,3.2950543306238894e-23,40.927965622863226,PSCH.KH,SCH,KH,6
4.939927068095411,0.9350062186067952,43.61718673208596,PSCH.KH,SCH,KH,7
5.689198876899105,7.69702416726132e-20,39.28535455749238,PSCH.KH,SCH,KH,8
5.318356743290827,0.9151497567130322,44.0847081675286,PSCH.KH,SCH,KH,9
5.267741702888396,0.9808758390464068,45.90483244716632,PSCH.KH,SCH,KH,10
4.65677281395724,0.6970887818600574,43.94330079725914,PSCH.KH,SCH,KH,11
4.203939088704434,1.0,52.16098118170887,PSCH.KH,SCH,KH,12
4.887487558614731,0.6382487756174461,42.59023911349355,PSCH.KH,SCH,KH,13
4.65341648094354,1.0,51.86956424189207,PSCH.KH,SCH,KH,14
5.275347589976608,0.9350576481229532,42.31568442943541,PSCH.KH,SCH,KH,15
4.019842945185727,7.525643976567697e-21,46.05933554120742,PSCH.KL,SCH,KL,0
4.772070940393412,2.524387208449916e-22,43.18265218172774,PSCH.KL,SCH,KL,1
4.576829237989398,0.9993325200558044,47.768248626384974,PSCH.KL,SCH,KL,2
4.7789843250851,0.1638375016261029,46.009380951869325,PSCH.KL,SCH,KL,3
4.410409107343065,1.0,53.65508508959321,PSCH.KL,SCH,KL,4
4.574352958794072,1.0,49.29790283243224,PSCH.KL,SCH,KL,5
4.762860794689317,1.0,51.09534880755767,PSCH.KL,SCH,KL,6
5.170491280613563,1.0,50.74001089949286,PSCH.KL,SCH,KL,7
4.954075002450657,0.949137559606728,46.801478397340695,PSCH.KL,SCH,KL,8
5.374010702076809,1.0,52.41976754467566,PSCH.KL,SCH,KL,9
5.158205085859976,1.0,53.451877518388464,PSCH.KL,SCH,KL,10
5.04838045903628,1.0,55.05239785508938,PSCH.KL,SCH,KL,11
4.71991434981038,1.0,53.39546990461036,PSCH.KL,SCH,KL,12
5.151316583831834,0.7977065075008819,44.3151546580226,PSCH.KL,SCH,KL,13
4.713498165313925,0.9861577430881584,46.850308035825904,PSCH.KL,SCH,KL,14
4.775748549736528,0.9937725880184342,46.34256360164092,PSCH.KL,SCH,KL,15
4.75160672456692,0.9982051719373144,47.94644398980888,PSCL.KH,SCL,KH,0
4.863059075262137,1.0,53.67773254129161,PSCL.KH,SCL,KH,1
4.81003610293134,1.0,50.15246479678052,PSCL.KH,SCL,KH,2
4.904937599267859,8.67864327758712e-22,37.294927625513154,PSCL.KH,SCL,KH,3
4.735275271684576,4.670585066832229e-16,41.28891208695881,PSCL.KH,SCL,KH,4
5.326489294991796,6.75570682955837e-14,39.39888316146354,PSCL.KH,SCL,KH,5
